paper_id,publish_time,title,doi,journal,similarity
aa3bf87980ba0e097075b367d9276dc42255696c,2020-03-04,Identification of COVID-19 can be quicker through artificial intelligence framework using a mobile phone–based survey when cities and towns are under quarantine,10.1017/ice.2020.61,Infection control and hospital epidemiology,0.16410981790612517
dc7726fbace94aca0f29a112cafe36198734b13a,2020-04-26,Analysis of Effectiveness of Quarantine Measures in Controlling COVID-19,10.1101/2020.04.21.20074245,,0.14039162256922888
27c7020d5ee9f6d7b2cf92a1990cd56072cc1bc0,2020-05-08,Contact tracing strategies for COVID-19 containment with attenuated physical distancing,10.1101/2020.05.05.20091280,,0.13403761495662309
57b4daeeba2ed4434cd3ff6f7a6516dc22878e58,2020-06-03,Spreading of COVID-19 in Brazil: Impacts and uncertainties in social distancing strategies,10.1101/2020.05.30.20117283,,0.1327119512963536
8821e5b2aa64a8dfdb42bcbad957b604c9220460, and raises questions on quarantine procedures in closed environments such as military vessels,Taking Account of Asymptomatic Infections in Modeling the Transmission Potential of the COVID-19 Outbreak on the Diamond Princess Cruise Ship,10.1101/2020.04.22.20074286, dormitories,0.12952545359687237
191639f626c9a0e2c8e2cc680ebc23e81e2a354f,2020-04-28,Comparison of SARS-CoV-2 Exit Strategies Building Blocks,10.1101/2020.04.23.20072850,,0.12699083605828113
2be0c5b0e602c2c6a95fe6d132277d030070bcd9,2020-05-27,Combining PCR and CT testing for COVID,,,0.12045160134604876
0025aba7979aa27567a65cf6f19d6120f7f4691b,2014-12-31,Ethics and Social Value Judgments in Public Health,10.1016/b978-0-12-375678-7.00415-6,Encyclopedia of Health Economics,0.11377786073490667
ec2b83de87e82e3052cccbc2afeee8b00ab18d9b,2020-05-21,Use of gerontechnology to assist older adults to cope with the COVID-19 pandemic,10.1016/j.jamda.2020.05.021,J Am Med Dir Assoc,0.10210108985896368
9735c289f323e4edefb7532889f9fa56d35a52cf,2020-05-18,Geriatric mental health and COVID-19: An eye-opener to the situation of the Arab countries in the Middle East and North Africa Region,10.1016/j.jagp.2020.05.009,Am J Geriatr Psychiatry,0.1006098767984358
