,paper_id,publish_time,title,doi,journal,similarity
3,451b3ca0a07f23d78733b732f27d62a44e5a376e,2019-02-21,Clinician perceptions of respiratory infection risk; a rationale for research into mask use in routine practice,10.1016/j.idh.2019.01.003,Infect Dis Health,0.21674020058402169
9,1d7936a6440a33fb49262c7dfeece703e80dc2ee,2019-09-30,Establishment of the key Technical Indicators of Positive Pressure Biological Protective Clothing,10.1016/j.jobb.2019.08.003,Journal of Biosafety and Biosecurity,0.19755982178579587
0,0014b643b47d9b881e401ad5c4995622e0a39433,2020-04-01,"Guidance for Cardiac Electrophysiology During the Coronavirus (COVID-19) Pandemic from the Heart Rhythm Society COVID-19 Task Force; Electrophysiology Section of the American College of Cardiology; and the Electrocardiography and Arrhythmias Committee of the Council on Clinical Cardiology, American",10.1016/j.hrthm.2020.03.028,Heart Rhythm,0.1394693329194782
7,371bfaf3c61f2efc04331b62d856743a493a4e02,2020-04-13,A Multidisciplinary Team Approach for Triage of Elective Cancer Surgery at the Massachusetts General Hospital During the Novel Coronavirus COVID-19 Outbreak,10.1097/sla.0000000000003963,Ann Surg,0.13921570346967505
4,0a1beb9a503c932f467fedfdda1202f8770792b0,2020-04-05,Gastrointestinal endoscopy during COVID-19 pandemic: an updated review of guidelines and statements from international and national societies,10.1016/j.gie.2020.03.3854,Gastrointest Endosc,0.10793106090118024
8,276cb11db59715ee42bcf0ee442ee64af08fccf3,2020-06-27,Can Masks Be Reused After Hot Water Decontamination During the COVID-19 Pandemic?,10.1016/j.eng.2020.05.016,Engineering (Beijing),0.10596922393490199
5,07d550f614617514b27ab68f36086a1409c5aab2,2020-05-29,Responding to SARS-CoV-2 in South Africa: What can we learn from drug-resistant tuberculosis?,10.1183/13993003.01369-2020,Eur Respir J,0.10011006184265908
2,99f23174c0c22b6d5a7ccbd3d6a03efa610c79d7,2020-04-03,"COVID-19 pandemic and cardiac imaging: EACVI recommendations on precautions, indications, prioritization, and protection for patients and healthcare personnel",10.1093/ehjci/jeaa072,Eur Heart J Cardiovasc Imaging,0.08185799918112535
1,dd4cba9cda9f49ba9814a77584f129c57ec219c2,2020-06-04,Recommended operating room practice during the COVID‐19 pandemic: systematic review,10.1002/bjs5.50304,BJS Open,0.07959490137555422
6,6988598b4fc6a59fa50daf1a51c213aadf4d5aa1,,,,,0.07959230478360746
