,paper_id,publish_time,title,doi,journal,similarity
2,d707ad5021935bdb7102566353ac3c4e319e91ef,,,,,0.18785542534409488
0,5bb8f28608aad3bde8b470c81025ce3c9e3a5fc3,2019-04-05,Impacts of Road Traffic Network and Socioeconomic Factors on the Diffusion of 2009 Pandemic Influenza A (H1N1) in Mainland China,10.3390/ijerph16071223,Int J Environ Res Public Health,0.11466269794213249
4,f50249f1c5bfd076ed36f06dd2f3ce77c740cd82,2020-06-12,Change of the diagnostic distribution in applicants to dermatology after COVID ‐19 pandemic: What it whispers to us?,10.1111/dth.13804,Dermatol Ther,0.07698238238269008
7,8645437ad8a6f8538447b79ff2652174d9aba0d0,2020-05-11,"Accessibility and site suitability for healthcare services using GIS-based hybrid decision-making approach: a study in Murshidabad, India",10.1007/s41324-020-00330-0,Spat,0.07284035850057825
5,191639f626c9a0e2c8e2cc680ebc23e81e2a354f,2020-04-28,Comparison of SARS-CoV-2 Exit Strategies Building Blocks,10.1101/2020.04.23.20072850,,0.0716240284264974
3,cf3abd4ab4ea9d7d602482b62166463db3dffc02,2012-03-30,A systematic review to identify areas of enhancements of pandemic simulation models for operational use at provincial and local levels,10.1186/1471-2458-12-251,BMC Public Health,0.06473816250647439
6,21c97465eee05ef92f3e34066d2920b506bd62aa,2020-05-05,The Impact of the Covid‐19 Pandemic on Current Anatomy Education and Future Careers: A Student’s Perspective,10.1002/ase.1966,Anat Sci Educ,0.06224887965567404
9,18a5b9d703463bab1d5dda5048dbe87f4e2ff1e2,2020-05-21,Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care,10.1016/j.jamda.2020.05.025,J Am Med Dir Assoc,0.05858073614114497
1,3d2e51a4d7e9699e47839fa0abff25cc40ed2e1c,,,,,0.05569008864376007
8,e7bbb9a6504f9b72c52bc62ae849ba4e95b58a8b,2020-04-07,Scenario analysis of non-pharmaceutical interventions on global COVID-19 transmissions,,,0.055149604899698355
