paper_id,publish_time,title,doi,journal,similarity
d707ad5021935bdb7102566353ac3c4e319e91ef,,,,,0.0819568739931823
8645437ad8a6f8538447b79ff2652174d9aba0d0,2020-05-11,"Accessibility and site suitability for healthcare services using GIS-based hybrid decision-making approach: a study in Murshidabad, India",10.1007/s41324-020-00330-0,Spat,0.05304896315674562
191639f626c9a0e2c8e2cc680ebc23e81e2a354f,2020-04-28,Comparison of SARS-CoV-2 Exit Strategies Building Blocks,10.1101/2020.04.23.20072850,,0.052163121150821876
18a5b9d703463bab1d5dda5048dbe87f4e2ff1e2,2020-05-21,Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care,10.1016/j.jamda.2020.05.025,J Am Med Dir Assoc,0.04266381134329488
27c7020d5ee9f6d7b2cf92a1990cd56072cc1bc0,2020-05-08,Contact tracing strategies for COVID-19 containment with attenuated physical distancing,10.1101/2020.05.05.20091280,,0.038940879464787095
5bb8f28608aad3bde8b470c81025ce3c9e3a5fc3,2019-04-05,Impacts of Road Traffic Network and Socioeconomic Factors on the Diffusion of 2009 Pandemic Influenza A (H1N1) in Mainland China,10.3390/ijerph16071223,Int J Environ Res Public Health,0.03703226478755992
b73f7803b6ccf7df6465d86bb6a3b2a0f9d7975c,2002-10-31,Hygienic hand antiseptics: Should they not have activity and label claims against viruses?,10.1067/mic.2002.124532,American Journal of Infection Control,0.03661530483791039
ec2b83de87e82e3052cccbc2afeee8b00ab18d9b,2020-05-21,Use of gerontechnology to assist older adults to cope with the COVID-19 pandemic,10.1016/j.jamda.2020.05.021,J Am Med Dir Assoc,0.03585548639841998
c0b561d09eef775c862a1bee9559f1c707f42e97,2020-04-11,Evidence of economic segregation from mobility lockdown during COVID-19 epidemic,,,0.033907174359127566
8ddab89c583408d8e0ef44ef172555288d32abb2,2020-04-24,Protection by Exclusion: Another Missed Opportunity to Include Pregnant Women in Research During the Coronavirus Disease 2019 (COVID-19) Pandemic,10.1097/aog.0000000000003924,Obstet Gynecol,0.030692179101381292
