paper_id,publish_time,title,doi,journal,similarity
fbe9a5450af79b87fb9737b929add7b022439176,2020-04-30,Novel coronavirus: From discovery to clinical diagnostics,10.1016/j.meegid.2020.104211,"Infection, Genetics and Evolution",0.4743814481228189
e828635369b6778db01185c3ce67cc923c03ebfe,2020-03-05,"Structural, glycosylation and antigenic variation between 2019 novel coronavirus (2019-nCoV) and SARS coronavirus (SARS-CoV)",10.1007/s13337-020-00571-5,Virusdisease,0.44049042112463993
3a143e7e5417c8df9d6952b22400b5c4feb9c580,,,,,0.3335706036836585
2307ca38237d9b328510976a5cf6ac8dbd0a733a,2020-03-31,Preparing for uncertainty during public health emergencies: What Canadian health leaders can do now to optimize future emergency response,10.1177/0840470420917172,Healthc Manage Forum,0.24439931076842053
fcdc54e0d093df2bf1e6595e3b5e92972c622db1,2020-07-01,"Effects of temperature variation and humidity on the death of COVID-19 in Wuhan, China",10.1016/j.scitotenv.2020.138226,Sci Total Environ,0.22618518699276996
68868e82c4747b8f7a06816c14d495117c9ffb79,2016-06-24,"The swine flu vaccine, public attitudes, and researcher interpretations: a systematic review of qualitative research",10.1186/s12913-016-1466-7,BMC Health Serv Res,0.15270839788354318
b970b7a807f37678f91d4b989ffdb7d7606d754d,,,,,0.12897277866357276
714dd1fe1309414e8b8d3c8c2e180b1dbe32e94e,2020-04-29,Several countries in one: a mathematical modeling analysis for COVID-19 in inner Brazil,10.1101/2020.04.23.20077438,,0.11907893727164018
57b4daeeba2ed4434cd3ff6f7a6516dc22878e58,2020-06-03,Spreading of COVID-19 in Brazil: Impacts and uncertainties in social distancing strategies,10.1101/2020.05.30.20117283,,0.10984457148286501
3c8fa182d782957ade3296881a99ac4bfe97cd4c,2014-04-16,Airborne Microorganisms From Livestock Production Systems and Their Relation to Dust,10.1080/10643389.2012.746064,Crit Rev Environ Sci Technol,0.0898118618034773
