paper_id,publish_time,paper_title,doi,journal,similarity
3c8fa182d782957ade3296881a99ac4bfe97cd4c,2014-04-16,Airborne Microorganisms From Livestock Production Systems and Their Relation to Dust,10.1080/10643389.2012.746064,Crit Rev Environ Sci Technol,0.08587859359227487
6cab26f503af61365106a1be2eaeba79f1096381,2020-05-12,Evolving Transmission Network Dynamics of COVID-19 Cluster Infections in South Korea: a descriptive study,10.1101/2020.05.07.20091769,medRxiv : the preprint server for health sciences,0.08416791884376655
68868e82c4747b8f7a06816c14d495117c9ffb79,2016-06-24,"The swine flu vaccine, public attitudes, and researcher interpretations: a systematic review of qualitative research",10.1186/s12913-016-1466-7,BMC Health Serv Res,0.060544064254598594
64d62cc3db22f2cd31a2b6b6553d70b0a413d131,2020-06-27,Journal Pre-proof The pathogenesis of thromboembolic disease in covid-19 patients: Could be a catastrophic antiphospholipid syndrome?,10.1016/j.thromres.2020.06.042,Thromb Res,0.05213128641542741
27c7020d5ee9f6d7b2cf92a1990cd56072cc1bc0,2020-05-08,Contact tracing strategies for COVID-19 containment with attenuated physical distancing,10.1101/2020.05.05.20091280,,0.051426547674053136
36c21939153187db30a91c907b300c37da9577e7,2020-07-05,"Severe Acute Respiratory Syndrome Coronavirus 2 Shedding by Travelers, Vietnam, 2020",10.3201/eid2607.200591,Emerg Infect Dis,0.04638787967581591
e7256385b8f8dbe4b799388e5f49ab12a083db23,2008-11-30,RNAVLab: A virtual laboratory for studying RNA secondary structures based on grid computing technology,10.1016/j.parco.2008.08.002,Parallel Computing,0.046018231780230776
3fc42ede003a91a866ba3685220ffcbdd9d95f3b,,Essentials of infection prevention in the pediatric population-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/),,,0.044142804057190003
8ddab89c583408d8e0ef44ef172555288d32abb2,2020-04-24,Protection by Exclusion Another Missed Opportunity to Include Pregnant Women in Research During the Coronavirus Disease 2019 (COVID-19) Pandemic,10.1097/aog.0000000000003924,Obstet Gynecol,0.038232542680297604
12893aa539717df5ccaa94d15d84cb5c057fcdbf,2020-06-03,COVID-19 trend in Bangladesh: deviation from epidemiological model and critical analysis of the possible factors,10.1101/2020.05.31.20118745,,0.03785433893388136
