paper_id,publish_time,paper_title,doi,journal,similarity
27c7020d5ee9f6d7b2cf92a1990cd56072cc1bc0,2020-05-08,Contact tracing strategies for COVID-19 containment with attenuated physical distancing,10.1101/2020.05.05.20091280,,0.22113527959684817
654a6305ae55917fb2d3f42a50de64e5db2aaf60,2020-06-05,Journal Pre-proofs Capacity of local authority and community on epidemic response in Vietnam: Implication for COVID-19 preparedness Capacity of local authority and community on epidemic response in Emails of authors: Declaration of interest: none. 43,10.1016/j.ssci.2020.104867,Saf Sci,0.1697798473514581
65dffaf5709ea8622c4d95b459ee8be719b43323,2005-12-31,Forecasting versus projection models in epidemiology: The case of the SARS epidemics,10.1016/j.mehy.2004.09.029,Medical Hypotheses,0.13515809329899048
2be0c5b0e602c2c6a95fe6d132277d030070bcd9,2020-05-27,Combining PCR and CT testing for COVID,,,0.13277047290736732
bb19b5b96b95145ef9acb61d25bb5a4eb69beac7,2008-02-05,Respiratory infections and lung function in an Australian Aboriginal community,10.1111/j.1440-1843.2007.01221.x,Respirology,0.12654351781067122
3a73b880acd8983f87b210ff7fee434fd6ecc8c8,2020-03-04,"Epidemiology and Transmission of COVID-19 in Shenzhen China: Analysis of 391 cases and 1,286 of their close contacts",10.1101/2020.03.03.20028423,,0.1217062871498102
d707ad5021935bdb7102566353ac3c4e319e91ef,,Impact of Timing of and Adherence to Social Distancing Measures on COVID-19 Burden in the US: A Simulation Modeling Approach,,,0.11253732886476421
36c21939153187db30a91c907b300c37da9577e7,2020-07-05,"Severe Acute Respiratory Syndrome Coronavirus 2 Shedding by Travelers, Vietnam, 2020",10.3201/eid2607.200591,Emerg Infect Dis,0.09391802194984915
0ab2eeb98aa0e5d0bfab81dcefca3e05637c2de7,2010-12-24,Grid Computing for Disaster Mitigation,10.1007/978-1-4419-8014-4_34,Data Driven e-Science,0.07684600720486874
6cab26f503af61365106a1be2eaeba79f1096381,2020-05-12,Evolving Transmission Network Dynamics of COVID-19 Cluster Infections in South Korea: a descriptive study,10.1101/2020.05.07.20091769,medRxiv : the preprint server for health sciences,0.06129843915140555
