paper_id,publish_time,paper_title,doi,journal,similarity
2d1300359d8ec1682b0b6bdb51df4604a7ed4930,2019-09-27,Epidemiological and clinical profile of Korean travelers receiving international medical repatriation,10.1097/md.0000000000017330,Medicine (Baltimore),0.2511019958412871
4be9882705e5d0021b60347ea0ac3e2ae6d91b40,2020-02-11,Development of the WHO-INTEGRATE evidence-to-decision framework: an overview of systematic reviews of decision criteria for health decision-making,10.1186/s12962-020-0203-6,Cost Eff Resour Alloc,0.08536616840188067
a8b5de09c002605e9748e653b5ca827a23e83cf3,2009-12-24,BMC Medicine Calculating the potential for within-flight transmission of influenza A (H1N1),10.1186/1741-7015-7-81,BMC Med,0.07452061862071889
9735c289f323e4edefb7532889f9fa56d35a52cf,2020-05-18,Geriatric mental health and COVID-19: An eye-opener to the situation of the Arab countries in the Middle East and North Africa Region,10.1016/j.jagp.2020.05.009,Am J Geriatr Psychiatry,0.043100103389574054
8645437ad8a6f8538447b79ff2652174d9aba0d0,2020-05-11,"Accessibility and site suitability for healthcare services using GIS- based hybrid decision-making approach: a study in Murshidabad, India",10.1007/s41324-020-00330-0,Spat,0.04124321899075376
a1bbca4d6a52f9747ea0159d11b5493da1f0b29c,2020-04-10,Journal Pre-proofs Psychiatry hospital management facing COVID-19: from medical staff to pa- tients,10.1016/j.bbi.2020.04.018,Brain Behav Immun,0.03941798954163997
dc7726fbace94aca0f29a112cafe36198734b13a,2020-04-26,Analysis of Effectiveness of Quarantine Measures in Controlling COVID-19,10.1101/2020.04.21.20074245,,0.036932171719703324
2307ca38237d9b328510976a5cf6ac8dbd0a733a,2020-03-31,Preparing for uncertainty during public health emergencies: What Canadian health leaders can do now to optimize future emergency response,10.1177/0840470420917172,Healthc Manage Forum,0.035389424661473295
cda1f45974f3f33fa7ebb605b4a6618adf187599,2020-05-18,"Sophie Knipper 1 (SK), Franziska von Breunig 2 (FB), Christian Zoellner 2 (CZ)",10.1111/bju.15115,BJU Int,0.03373650773383759
b83d5dc2ac33c3e6d7c8660852562e485504aa28,2007-03-01,Spectrum of Viruses and Atypical Bacteria in Intercontinental Air Travelers with Symptoms of Acute Respiratory Infection,10.1086/511432,J Infect Dis,0.03326527532254628
