paper_id,publish_time,paper_title,doi,journal,similarity
451b3ca0a07f23d78733b732f27d62a44e5a376e,2019-02-21,Clinician perceptions of respiratory infection risk; a rationale for research into mask use in routine practice ScienceDirect,10.1016/j.idh.2019.01.003,Infect Dis Health,0.21705661654250946
1d7936a6440a33fb49262c7dfeece703e80dc2ee,2019-09-30,Establishment of the key Technical Indicators of Positive Pressure Biological Protective Clothing,10.1016/j.jobb.2019.08.003,Journal of Biosafety and Biosecurity,0.19747377400289545
371bfaf3c61f2efc04331b62d856743a493a4e02,2020-04-13,A Multidisciplinary Team Approach for Triage of Elective Cancer Surgery at the Massachusetts General Hospital During the Novel Coronavirus COVID-19 Outbreak,10.1097/sla.0000000000003963,Ann Surg,0.1411342060890977
0014b643b47d9b881e401ad5c4995622e0a39433,2020-04-01,Heart Rhythm College of Cardiology; and the Electrocardiography and Arrhythmias Committee of the Council on Clinical Cardiology,10.1016/j.hrthm.2020.03.028,Heart Rhythm,0.1391742263792322
0a1beb9a503c932f467fedfdda1202f8770792b0,2020-04-05,Journal Pre-proof Gastrointestinal endoscopy during COVID-19 pandemic: an updated review of guidelines and statements from international and national societies Gastrointestinal endoscopy during COVID-19 pandemic: an updated review of guidelines and statements from international and national societies,10.1016/j.gie.2020.03.3854,Gastrointest Endosc,0.10962147941672641
276cb11db59715ee42bcf0ee442ee64af08fccf3,2020-06-27,Journal Pre-proofs Article Can Masks Be Reused After Hot Water Decontamination During the COV- ID-19 Pandemic? Can Masks Be Reused After Hot Water Decontamination During the COVID-19 Pandemic?,10.1016/j.eng.2020.05.016,Engineering (Beijing),0.10958867904820063
07d550f614617514b27ab68f36086a1409c5aab2,2020-05-29,"Clinical head, District Clinical Specialist Team, Namakwa, Northern Cape, South Africa 10. Metro TB Hospital Centre, Brooklyn Chest Hospital, Western Cape 11",10.1183/13993003.01369-2020,Eur Respir J,0.10205643652578886
99f23174c0c22b6d5a7ccbd3d6a03efa610c79d7,2020-04-03,"COVID-19 pandemic and cardiac imaging: EACVI recommendations on precautions, indications, prioritization, and protection for patients and healthcare personnel",10.1093/ehjci/jeaa072,Eur Heart J Cardiovasc Imaging,0.08329759811066997
dd4cba9cda9f49ba9814a77584f129c57ec219c2,2020-06-04,Systematic review Recommended operating room practice during the COVID-19 pandemic: systematic review Welsh Surgical Research Initiative (WSRI) Collaborative*,10.1002/bjs5.50304,BJS Open,0.08010974290816562
dc57cacedbbad71644464158ec9a2d61afbaeb70,2020-05-21,Journal Pre-proof Surgical treatment of thoracolumbar fracture with incomplete lower limb paralysis in a patient with COVID-19 Case report Surgical treatment of thoracolumbar fracture with incomplete lower limb paralysis in a patient with COVID-19,10.1016/j.cjtee.2020.05.005,Chin J Traumatol,0.07944624524862696
