paper_id,publish_time,paper_title,doi,journal,similarity
d707ad5021935bdb7102566353ac3c4e319e91ef,,Impact of Timing of and Adherence to Social Distancing Measures on COVID-19 Burden in the US: A Simulation Modeling Approach,,,0.1858508509732417
5bb8f28608aad3bde8b470c81025ce3c9e3a5fc3,2019-04-05,Impacts of Road Traffic Network and Socioeconomic Factors on the Diffusion of 2009 Pandemic Influenza A (H1N1) in Mainland China,10.3390/ijerph16071223,Int J Environ Res Public Health,0.1148246187834982
f50249f1c5bfd076ed36f06dd2f3ce77c740cd82,2020-06-12,Change of the diagnostic distribution in applicants to dermatology after COVID-19 pandemic: What it whispers to us?,10.1111/dth.13804,Dermatol Ther,0.07643764193005445
8645437ad8a6f8538447b79ff2652174d9aba0d0,2020-05-11,"Accessibility and site suitability for healthcare services using GIS- based hybrid decision-making approach: a study in Murshidabad, India",10.1007/s41324-020-00330-0,Spat,0.07193467283384156
191639f626c9a0e2c8e2cc680ebc23e81e2a354f,2020-04-28,Comparison of SARS-CoV-2 Exit Strategies Building Blocks,10.1101/2020.04.23.20072850,,0.07040309228565549
cf3abd4ab4ea9d7d602482b62166463db3dffc02,2012-03-30,A systematic review to identify areas of enhancements of pandemic simulation models for operational use at provincial and local levels,10.1186/1471-2458-12-251,BMC Public Health,0.06501311424565381
18a5b9d703463bab1d5dda5048dbe87f4e2ff1e2,2020-05-21,Journal Pre-proof Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care,10.1016/j.jamda.2020.05.025,J Am Med Dir Assoc,0.0570105292665451
e7bbb9a6504f9b72c52bc62ae849ba4e95b58a8b,2020-04-07,SCENARIO ANALYSIS OF NON-PHARMACEUTICAL INTERVENTIONS ON GLOBAL COVID-19 TRANSMISSIONS,,,0.05538694915546159
3d2e51a4d7e9699e47839fa0abff25cc40ed2e1c,,COVID-19 and maternal and child food and nutrition insecurity: a complex syndemic,,,0.05515656338610065
f4dd66e81470d649f3fcb9da6c6cbe65851935ed, from information available in the preprints. The studies have the following in common: - They received worldwide attention and arguably had policy impact. - The thrusts of their findings align with the respective lead authors' (different) public stances on appropriate response to COVID-19. - Tentatively,A Critical Assessment of Some Recent Work on COVID-19 *,, and my reading of the Charit\'{e} study reverses it. The exercise may aid in placing these studies in the literature. With all caveats that apply to n=2 quickfire analyses based off preprints,0.052193383803650815
