paper_id,publish_time,paper_title,doi,journal,similarity
d707ad5021935bdb7102566353ac3c4e319e91ef,,Impact of Timing of and Adherence to Social Distancing Measures on COVID-19 Burden in the US: A Simulation Modeling Approach,,,0.07829549084551769
8645437ad8a6f8538447b79ff2652174d9aba0d0,2020-05-11,"Accessibility and site suitability for healthcare services using GIS- based hybrid decision-making approach: a study in Murshidabad, India",10.1007/s41324-020-00330-0,Spat,0.05115696114518499
191639f626c9a0e2c8e2cc680ebc23e81e2a354f,2020-04-28,Comparison of SARS-CoV-2 Exit Strategies Building Blocks,10.1101/2020.04.23.20072850,,0.05006776446842724
18a5b9d703463bab1d5dda5048dbe87f4e2ff1e2,2020-05-21,Journal Pre-proof Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care Providing simultaneous COVID-19-sensitive and dementia-sensitive care as we transition from crisis care to ongoing care,10.1016/j.jamda.2020.05.025,J Am Med Dir Assoc,0.04054352811601339
27c7020d5ee9f6d7b2cf92a1990cd56072cc1bc0,2020-05-08,Contact tracing strategies for COVID-19 containment with attenuated physical distancing,10.1101/2020.05.05.20091280,,0.03707590922447719
5bb8f28608aad3bde8b470c81025ce3c9e3a5fc3,2019-04-05,Impacts of Road Traffic Network and Socioeconomic Factors on the Diffusion of 2009 Pandemic Influenza A (H1N1) in Mainland China,10.3390/ijerph16071223,Int J Environ Res Public Health,0.0356562634477765
c0b561d09eef775c862a1bee9559f1c707f42e97,2020-04-11,Evidence of economic segregation from mobility lockdown during COVID-19 epidemic,,,0.03426707903865866
ec2b83de87e82e3052cccbc2afeee8b00ab18d9b,2020-05-21,Journal Pre-proof Use of gerontechnology to assist older adults to cope with the COVID-19 pandemic Use of gerontechnology to assist older adults to cope with the COVID-19 pandemic Authors,10.1016/j.jamda.2020.05.021,J Am Med Dir Assoc,0.03421151615221855
68868e82c4747b8f7a06816c14d495117c9ffb79,2016-06-24,"The swine flu vaccine, public attitudes, and researcher interpretations: a systematic review of qualitative research",10.1186/s12913-016-1466-7,BMC Health Serv Res,0.029378088082728057
8ddab89c583408d8e0ef44ef172555288d32abb2,2020-04-24,Protection by Exclusion Another Missed Opportunity to Include Pregnant Women in Research During the Coronavirus Disease 2019 (COVID-19) Pandemic,10.1097/aog.0000000000003924,Obstet Gynecol,0.029306649869982968
