paper_id,publish_time,paper_title,doi,journal,similarity
b6d53224e902ac9e04b903804a06c72b40ce3acf,2019-07-29,Clinical characteristics and outcomes during a severe influenza season in China during 2017-2018,10.1186/s12879-019-4181-2,BMC Infect Dis,0.3040811498911395
8ddab89c583408d8e0ef44ef172555288d32abb2,2020-04-24,Protection by Exclusion Another Missed Opportunity to Include Pregnant Women in Research During the Coronavirus Disease 2019 (COVID-19) Pandemic,10.1097/aog.0000000000003924,Obstet Gynecol,0.12682106285448994
fc7c462f4b3c1a7e4ab9cf9d7be29353a8595a8c,2013-01-15,Human Coronavirus EMC Is Not the Same as Severe Acute Respiratory Syndrome Coronavirus,10.1128/mbio.00002-13,mBio,0.09830917614831872
98bf14e077d911ddc7450d48a7e79f3573d9e52a,2019-06-06,"Meeting report Incidence, Severity and Impact of Influenza: a joint meeting organised by the ISIRV Epidemiology Group and ECDC, Stockholm, 2019 The International Society for Influenza and Other Respiratory Viruses (ISIRV) Epidemiology Group and the European Centre for Disease Prevention and Control (ECDC) held a joint meeting at the ECDC facilities in Stockholm",10.2807/1560-7917.es.2019.24.23.1900348,Euro Surveill,0.05696671700787771
4d8e12275655768ea6b3210e146cffec2a61ceaa,2007-10-31,Detection of respiratory viruses using non-molecular based methods,10.1016/s1386-6532(07)70004-5,Journal of Clinical Virology,0.054947639351832805
4e3b29d34632a70309cb25433ec5bcc2851689bc,2020-06-26,"O P I N I O N Open Access A close look at the biology of SARS-CoV-2, and the potential influence of weather conditions and seasons on COVID-19 case spread",10.1186/s40249-020-00688-1,Infect Dis Poverty,0.053229477728684534
9051f89adf9b2bed5f47573dba7b0069c6786057,2020-04-02,Professor of Clinical Epidemiology& Acting Physcian of Internal MedicineMohamed A. Daw (Professor of Clinical Epidemiology& Acting Physcian of Internal Medicine),10.1016/j.tmaid.2020.101652,Travel Med Infect Dis,0.04654404196590147
b0706e05d808d816e1703363324ca05d54fad06a,2020-05-11,Identifying potential undocumented COVID-19 using publicly reported influenza-like-illness and laboratory-confirmed influenza disease in the United States: An approach to syndromic surveillance?,10.1016/j.ajic.2020.05.007,Am J Infect Control,0.045398345104543276
0014b643b47d9b881e401ad5c4995622e0a39433,2020-04-01,Heart Rhythm College of Cardiology; and the Electrocardiography and Arrhythmias Committee of the Council on Clinical Cardiology,10.1016/j.hrthm.2020.03.028,Heart Rhythm,0.03416891319239072
0f52f6ec3e15cc1cc45803c3cb81618d5ee82b7a,2016-12-30,Coherence of Influenza Surveillance Data across Different Sources and Age Groups,10.1371/journal.pone.0169199,PLoS One,0.03281879526454097
